item_number,stimulus,prompt_start_sec,prompt_end_sec,learner_start_sec,learner_end_sec,notes
1,Quiero cortarme el pelo (7),161.14,163.544,165.4,167.839,
2,El libro está en la mesa (7),168.1,171.368,172.135,174.901,
3,El carro lo tiene Pedro (8),175.201,178.1,179.519,182.466,
4,El se ducha cada mañana (9),183.77,186.089,187.879,190.735,
5,¿Qué dice usted que va a hacer hoy? (9),192.957,195.452,196.7,200.727,
6,Dudo que sepa manejar muy bien (10),201.952,204.491,205.489,209.48,
7,Las calles de esta ciudad son muy anchas (11),211.307,214.4,215.5,219.69,
8,Puede que llueva mañana todo el día (12),220.97,225.69,227.045,230.763,
9,Las casas son muy bonitas pero caras (12),233.527,236.95,238.38,244.91,
10,Me gustan las películas que acaban bien (12),245.516,248.645,250.1,253.815,
11,El chico con el que yo salgo es español (13),255.117,257.262,261.854,266.934,
12,Después de cenar me fui a dormir tranquilo (13),269.2,273.011,274.28,278.906,
13,Quiero una casa en la que vivan mis animales (14),281.365,285.5,286.1,291.025,
14,A nosotros nos fascinan las fiestas grandiosas (14),294.6,298.78,299.562,306.63,
15,Ella sólo bebe cerveza y no come nada (15),308.043,311.96,312.482,319.738,
16,Me gustaría que el precio de las casas bajara (15),321.008,325.73,327.028,333.32,
17,Cruza a la derecha y después sigue todo recto (15),335.01,339.5,340.904,348.5,
18,Ella ha terminado de pintar su apartamento (15),349.5,354.215,354.744,362.046,
19,Me gustaría que empezara a hacer más calor pronto (15),362.528,367.7,372.24,375.5,
20,El niño al que se le murió el gato está triste (16),376.01,380.593,381.842,390.324,
21,Una amiga mía cuida a los niños de mi vecino (16),390.3,394.838,395.38,402.1,
22,El gato que era negro fue perseguido por el perro (16),404.763,408.618,409.843,418.822,
23,Antes de poder salir él tiene que limpiar su cuarto (16),419.246,424.325,425.01,431.92,
24,La cantidad de personas que fuman ha disminuido (17),434.326,439.768,441.1,447.387,
25,Después de llegar a casa del trabajo tomé la cena (17),449.77,455.601,457.2,464.317,
26,El ladrón al que atrapó la policía era famoso (17),466.5,470.663,472.2,478.3,
27,Le pedí a un amigo que me ayudara con la tarea (17),481.684,486.264,487.8,493.65,
28,El examen no fue tan difícil como me habían dicho (17),496.835,502.141,503.11,511.846,
29,¿Serías tan amable de darme el libro que está en la mesa? (17),512.8,518.01,519.3,528.236,
30,Hay mucha gente que no toma nada para el desayuno (17),528.429,532.8,533.5,539.4,